trial,orient_deg,keyName,key,rt
1,70,f,9,15.9675004160017
2,80,f,9,0.47032280699932
3,90,l,15,0.261801125001512
4,100,f,9,0.208595227995829
5,110,l,15,0.276939903997118
6,120,f,9,1.06596952399559
7,130,l,15,0.199067210000067
8,140,f,9,0.499813408001501
