ConditionIndex,SignedDiff_rad_s,AbsDiff_rad_s,LeftHasReference,SpeedLeft_rad_s,SpeedRight_rad_s,Response,RT_s,Correct
4,0.628318530717959,0.628318530717959,0,3.76991118430775,3.14159265358979,2,2.97903526799928,0
5,0.785398163397448,0.785398163397448,1,3.14159265358979,3.92699081698724,2,1.97310806200039,1
5,0.785398163397448,0.785398163397448,0,3.92699081698724,3.14159265358979,1,1.14867650800079,1
6,1.17809724509617,1.17809724509617,1,3.14159265358979,4.31968989868597,2,0.760325637000278,1
4,0.628318530717959,0.628318530717959,1,3.14159265358979,3.76991118430775,2,2.1809386169989,1
3,0.523598775598299,0.523598775598299,0,3.66519142918809,3.14159265358979,1,2.83473016400058,1
5,0.785398163397448,0.785398163397448,0,3.92699081698724,3.14159265358979,1,2.14868004599884,1
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,1,4.52184037500047,1
4,0.628318530717959,0.628318530717959,1,3.14159265358979,3.76991118430775,2,0.408920136998859,1
5,0.785398163397448,0.785398163397448,1,3.14159265358979,3.92699081698724,1,0.364250061000348,0
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,1,0.542337713999586,1
5,0.785398163397448,0.785398163397448,1,3.14159265358979,3.92699081698724,2,0.307915274001061,1
4,0.628318530717959,0.628318530717959,1,3.14159265358979,3.76991118430775,2,0.343848767999589,1
1,0.26179938779915,0.26179938779915,0,3.40339204138894,3.14159265358979,1,0.340936980999686,1
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,1,0.386749092998798,1
6,1.17809724509617,1.17809724509617,1,3.14159265358979,4.31968989868597,1,0.358446258000185,0
1,0.26179938779915,0.26179938779915,1,3.14159265358979,3.40339204138894,2,0.307665030999487,1
4,0.628318530717959,0.628318530717959,0,3.76991118430775,3.14159265358979,1,0.639342059001137,1
1,0.26179938779915,0.26179938779915,1,3.14159265358979,3.40339204138894,1,1.09837337699901,0
1,0.26179938779915,0.26179938779915,0,3.40339204138894,3.14159265358979,2,0.459985456998766,0
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,1,0.289038708000589,1
3,0.523598775598299,0.523598775598299,0,3.66519142918809,3.14159265358979,2,0.369160917000045,0
1,0.26179938779915,0.26179938779915,1,3.14159265358979,3.40339204138894,1,0.152411543000198,0
5,0.785398163397448,0.785398163397448,1,3.14159265358979,3.92699081698724,2,0.398854551000113,1
1,0.26179938779915,0.26179938779915,1,3.14159265358979,3.40339204138894,1,0.683421289000762,0
2,0.392699081698724,0.392699081698724,1,3.14159265358979,3.53429173528852,2,0.376882996999484,1
6,1.17809724509617,1.17809724509617,0,4.31968989868597,3.14159265358979,1,0.303177089999735,1
6,1.17809724509617,1.17809724509617,0,4.31968989868597,3.14159265358979,2,0.28209751599934,0
1,0.26179938779915,0.26179938779915,1,3.14159265358979,3.40339204138894,1,0.321822068000984,0
3,0.523598775598299,0.523598775598299,0,3.66519142918809,3.14159265358979,2,0.317714615999648,0
3,0.523598775598299,0.523598775598299,0,3.66519142918809,3.14159265358979,1,0.0536295590009104,1
4,0.628318530717959,0.628318530717959,0,3.76991118430775,3.14159265358979,2,0.103600600999926,0
5,0.785398163397448,0.785398163397448,0,3.92699081698724,3.14159265358979,1,0.30198717300118,1
4,0.628318530717959,0.628318530717959,0,3.76991118430775,3.14159265358979,2,0.288153800998771,0
5,0.785398163397448,0.785398163397448,0,3.92699081698724,3.14159265358979,1,0.0312409469988779,1
3,0.523598775598299,0.523598775598299,1,3.14159265358979,3.66519142918809,2,0.0668342699991626,1
3,0.523598775598299,0.523598775598299,0,3.66519142918809,3.14159265358979,1,0.00675769800000126,1
1,0.26179938779915,0.26179938779915,1,3.14159265358979,3.40339204138894,2,0.283885986998939,1
3,0.523598775598299,0.523598775598299,0,3.66519142918809,3.14159265358979,1,0.0837094610014901,1
1,0.26179938779915,0.26179938779915,0,3.40339204138894,3.14159265358979,2,0.257277057000465,0
4,0.628318530717959,0.628318530717959,0,3.76991118430775,3.14159265358979,1,0.291756530999919,1
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,2,0.521759655001006,0
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,1,0.294318558000668,1
1,0.26179938779915,0.26179938779915,0,3.40339204138894,3.14159265358979,2,0.276569158000711,0
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,1,0.126654863001022,1
