ConditionIndex,SignedDiff_rad_s,AbsDiff_rad_s,LeftHasReference,SpeedLeft_rad_s,SpeedRight_rad_s,Response,RT_s,Correct
4,0.628318530717959,0.628318530717959,0,3.76991118430775,3.14159265358979,1,2.86879454100017,1
3,0.523598775598299,0.523598775598299,1,3.14159265358979,3.66519142918809,2,1.58167275199958,1
4,0.628318530717959,0.628318530717959,0,3.76991118430775,3.14159265358979,1,1.01028121399941,1
5,0.785398163397448,0.785398163397448,0,3.92699081698724,3.14159265358979,1,1.01545468299992,1
2,0.392699081698724,0.392699081698724,1,3.14159265358979,3.53429173528852,2,2.12138228799995,1
1,0.26179938779915,0.26179938779915,1,3.14159265358979,3.40339204138894,1,1.53319651399943,0
1,0.26179938779915,0.26179938779915,0,3.40339204138894,3.14159265358979,1,1.9740985490007,1
1,0.26179938779915,0.26179938779915,1,3.14159265358979,3.40339204138894,2,0.831096199000967,1
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,1,1.36725184099851,1
3,0.523598775598299,0.523598775598299,1,3.14159265358979,3.66519142918809,2,1.87335721199997,1
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,1,1.52605071699872,1
3,0.523598775598299,0.523598775598299,0,3.66519142918809,3.14159265358979,1,1.14232311600063,1
6,1.17809724509617,1.17809724509617,1,3.14159265358979,4.31968989868597,2,1.07758697300051,1
2,0.392699081698724,0.392699081698724,1,3.14159265358979,3.53429173528852,2,1.44139386200004,1
3,0.523598775598299,0.523598775598299,0,3.66519142918809,3.14159265358979,1,1.11197834999984,1
3,0.523598775598299,0.523598775598299,1,3.14159265358979,3.66519142918809,2,1.50903063100122,1
6,1.17809724509617,1.17809724509617,1,3.14159265358979,4.31968989868597,2,0.72450573199967,1
5,0.785398163397448,0.785398163397448,1,3.14159265358979,3.92699081698724,2,1.13005373700071,1
5,0.785398163397448,0.785398163397448,0,3.92699081698724,3.14159265358979,1,1.31177463600034,1
1,0.26179938779915,0.26179938779915,1,3.14159265358979,3.40339204138894,2,1.1074039060004,1
1,0.26179938779915,0.26179938779915,1,3.14159265358979,3.40339204138894,2,0.912808446000781,1
2,0.392699081698724,0.392699081698724,1,3.14159265358979,3.53429173528852,2,0.861489352999342,1
3,0.523598775598299,0.523598775598299,1,3.14159265358979,3.66519142918809,2,0.811549201000162,1
4,0.628318530717959,0.628318530717959,0,3.76991118430775,3.14159265358979,1,1.29765516499901,1
5,0.785398163397448,0.785398163397448,1,3.14159265358979,3.92699081698724,2,0.683143006001046,1
5,0.785398163397448,0.785398163397448,0,3.92699081698724,3.14159265358979,1,1.69495261699922,1
4,0.628318530717959,0.628318530717959,1,3.14159265358979,3.76991118430775,2,0.776959261000229,1
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,1,1.48270827899978,1
4,0.628318530717959,0.628318530717959,1,3.14159265358979,3.76991118430775,2,1.10097350100114,1
3,0.523598775598299,0.523598775598299,0,3.66519142918809,3.14159265358979,1,1.65488579399971,1
5,0.785398163397448,0.785398163397448,0,3.92699081698724,3.14159265358979,1,1.61248072300077,1
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,1,1.3888329450001,1
1,0.26179938779915,0.26179938779915,0,3.40339204138894,3.14159265358979,2,1.65905116899921,0
3,0.523598775598299,0.523598775598299,1,3.14159265358979,3.66519142918809,2,1.55341992099966,1
1,0.26179938779915,0.26179938779915,0,3.40339204138894,3.14159265358979,2,1.76812137799971,0
2,0.392699081698724,0.392699081698724,1,3.14159265358979,3.53429173528852,2,0.892092202999265,1
3,0.523598775598299,0.523598775598299,1,3.14159265358979,3.66519142918809,2,1.17648078300044,1
2,0.392699081698724,0.392699081698724,1,3.14159265358979,3.53429173528852,2,1.11932252800034,1
1,0.26179938779915,0.26179938779915,1,3.14159265358979,3.40339204138894,2,0.781074223999894,1
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,1,1.88535104899893,1
6,1.17809724509617,1.17809724509617,1,3.14159265358979,4.31968989868597,2,1.1728546710001,1
6,1.17809724509617,1.17809724509617,0,4.31968989868597,3.14159265358979,1,1.23840573500092,1
6,1.17809724509617,1.17809724509617,1,3.14159265358979,4.31968989868597,2,1.14499482400061,1
5,0.785398163397448,0.785398163397448,1,3.14159265358979,3.92699081698724,2,1.23052948000077,1
4,0.628318530717959,0.628318530717959,1,3.14159265358979,3.76991118430775,2,0.954832755000098,1
2,0.392699081698724,0.392699081698724,0,3.53429173528852,3.14159265358979,2,1.12890419799987,0
4,0.628318530717959,0.628318530717959,1,3.14159265358979,3.76991118430775,2,1.58583429900136,1
1,0.26179938779915,0.26179938779915,1,3.14159265358979,3.40339204138894,2,1.06082250800137,1
4,0.628318530717959,0.628318530717959,0,3.76991118430775,3.14159265358979,2,1.1614686239991,0
3,0.523598775598299,0.523598775598299,1,3.14159265358979,3.66519142918809,2,1.9062441419992,1
1,0.26179938779915,0.26179938779915,0,3.40339204138894,3.14159265358979,1,2.35242966699843,1
3,0.523598775598299,0.523598775598299,1,3.14159265358979,3.66519142918809,2,1.01334718399994,1
4,0.628318530717959,0.628318530717959,1,3.14159265358979,3.76991118430775,2,2.94908460900115,1
6,1.17809724509617,1.17809724509617,0,4.31968989868597,3.14159265358979,1,3.67007912000008,1
4,0.628318530717959,0.628318530717959,1,3.14159265358979,3.76991118430775,2,1.96811562500079,1
1,0.26179938779915,0.26179938779915,1,3.14159265358979,3.40339204138894,2,1.44062694599961,1
5,0.785398163397448,0.785398163397448,0,3.92699081698724,3.14159265358979,1,2.21299110500149,1
1,0.26179938779915,0.26179938779915,1,3.14159265358979,3.40339204138894,2,1.59372460400118,1
3,0.523598775598299,0.523598775598299,1,3.14159265358979,3.66519142918809,2,2.46962186599922,1
2,0.392699081698724,0.392699081698724,1,3.14159265358979,3.53429173528852,2,1.61721860200123,1
